term_str|n|n_chars|p|i|max_pos|max_pos_group|stop|porter_stem|song_dfidf|album_dfidf
fires|6|5|3.11515157808387e-05|14.970338110343395|NN|NN|0|fire|37.8720215451129|20.76902668039518
fireside|1|8|5.191919296806451e-06|17.555300611064553|NN|NN|0|firesid|9.896332403909941|6.475733430966398
firetruck|1|9|5.191919296806451e-06|17.555300611064553|NN|NN|0|firetruck|9.896332403909941|6.475733430966398
fireworks|4|9|2.0767677187225803e-05|15.55530061106455|NNS|NN|0|firework|17.792664807819882|10.951466861932795
firing|1|6|5.191919296806451e-06|17.555300611064553|NN|NN|0|fire|9.896332403909941|6.475733430966398
first|86|5|0.00044650505952535473|11.129035856362453|JJ|JJ|0|first|189.1686292075096|47.23419728306216
fish|6|4|3.11515157808387e-05|14.970338110343395|NN|NN|0|fish|37.8720215451129|20.76902668039518
fishes|5|6|2.595959648403225e-05|15.23337251617719|NNS|NN|0|fish|17.792664807819882|10.951466861932795
fishnet|1|7|5.191919296806451e-06|17.555300611064553|NN|NN|0|fishnet|9.896332403909941|6.475733430966398
fist|14|4|7.268687015529031e-05|13.747945689006947|NN|NN|0|fist|60.53766662220867|29.75227586571677
fists|5|5|2.595959648403225e-05|15.23337251617719|NNS|NN|0|fist|24.934109709566357|14.672312790735724
fit|13|3|6.749495085848386e-05|13.854860892923458|NN|VB|0|fit|60.53766662220867|29.75227586571677
fits|19|4|9.864646663932256e-05|13.307373097620966|NNS|NN|0|fit|31.58532961563977|17.90293372386559
fitter|2|6|1.0383838593612901e-05|16.555300611064553|NNP|NN|0|fitter|9.896332403909941|6.475733430966398
five|24|4|0.0001246060631233548|12.970338110343395|CD|CD|0|five|98.75078256521326|39.61173489546236
fix|16|3|8.307070874890321e-05|13.55530061106455|VB|VB|0|fix|55.17065923127954|27.80586744773118
fixed|4|5|2.0767677187225803e-05|15.55530061106455|VBN|VB|0|fix|17.792664807819882|10.951466861932795
fixie|1|5|5.191919296806451e-06|17.555300611064553|NN|NN|0|fixi|9.896332403909941|6.475733430966398
fixin|1|5|5.191919296806451e-06|17.555300611064553|NN|NN|0|fixin|9.896332403909941|6.475733430966398
fixing|2|6|1.0383838593612901e-05|16.555300611064553|NN|NN|0|fix|17.792664807819882|10.951466861932795
flag|5|4|2.595959648403225e-05|15.23337251617719|NN|NN|0|flag|37.8720215451129|20.76902668039518
flags|2|5|1.0383838593612901e-05|16.555300611064553|NNS|NN|0|flag|17.792664807819882|10.951466861932795
flah|16|4|8.307070874890321e-05|13.55530061106455|NN|NN|0|flah|9.896332403909941|6.475733430966398
flail|1|5|5.191919296806451e-06|17.555300611064553|VB|VB|0|flail|9.896332403909941|6.475733430966398
flailing|1|8|5.191919296806451e-06|17.555300611064553|NN|NN|0|flail|9.896332403909941|6.475733430966398
flails|1|6|5.191919296806451e-06|17.555300611064553|NNS|NN|0|flail|9.896332403909941|6.475733430966398
flair|1|5|5.191919296806451e-06|17.555300611064553|NN|NN|0|flair|9.896332403909941|6.475733430966398
flame|14|5|7.268687015529031e-05|13.747945689006947|NN|NN|0|flame|75.73643883826543|33.17931993562011
flames|5|6|2.595959648403225e-05|15.23337251617719|NNS|NN|0|flame|24.934109709566357|14.672312790735724
flaming|1|7|5.191919296806451e-06|17.555300611064553|VBG|VB|0|flame|9.896332403909941|6.475733430966398
flan|4|4|2.0767677187225803e-05|15.55530061106455|NN|NN|0|flan|9.896332403909941|6.475733430966398
flapping|2|8|1.0383838593612901e-05|16.555300611064553|VBG|VB|0|flap|17.792664807819882|10.951466861932795
flares|1|6|5.191919296806451e-06|17.555300611064553|NNS|NN|0|flare|9.896332403909941|6.475733430966398
flash|17|5|8.826262804570965e-05|13.467837769814212|NN|NN|0|flash|49.62284237296636|25.678649562361553
flashback|2|9|1.0383838593612901e-05|16.555300611064553|NN|NN|0|flashback|9.896332403909941|6.475733430966398
flashed|1|7|5.191919296806451e-06|17.555300611064553|VBD|VB|0|flash|9.896332403909941|6.475733430966398
flat|5|4|2.595959648403225e-05|15.23337251617719|JJ|JJ|0|flat|37.8720215451129|20.76902668039518
flattens|1|8|5.191919296806451e-06|17.555300611064553|VBZ|VB|0|flatten|9.896332403909941|6.475733430966398
flattery|1|8|5.191919296806451e-06|17.555300611064553|NN|NN|0|flatteri|9.896332403909941|6.475733430966398
flavor|1|6|5.191919296806451e-06|17.555300611064553|NN|NN|0|flavor|9.896332403909941|6.475733430966398
flaw|1|4|5.191919296806451e-06|17.555300611064553|NN|NN|0|flaw|9.896332403909941|6.475733430966398
flawed|2|6|1.0383838593612901e-05|16.555300611064553|VBD|VB|0|flaw|9.896332403909941|6.475733430966398
flaws|2|5|1.0383838593612901e-05|16.555300611064553|NNS|NN|0|flaw|9.896332403909941|6.475733430966398
fleabitten|1|10|5.191919296806451e-06|17.555300611064553|NNP|NN|0|fleabitten|9.896332403909941|6.475733430966398
fled|6|4|3.11515157808387e-05|14.970338110343395|VBD|VB|0|fled|17.792664807819882|10.951466861932795
flee|4|4|2.0767677187225803e-05|15.55530061106455|VBD|VB|0|flee|24.934109709566357|14.672312790735724
fleez|4|5|2.0767677187225803e-05|15.55530061106455|NNP|NN|0|fleez|9.896332403909941|6.475733430966398
flesh|6|5|3.11515157808387e-05|14.970338110343395|NN|NN|0|flesh|37.8720215451129|20.76902668039518
flew|4|4|2.0767677187225803e-05|15.55530061106455|VBD|VB|0|flew|24.934109709566357|14.672312790735724
flick|2|5|1.0383838593612901e-05|16.555300611064553|NN|NN|0|flick|9.896332403909941|6.475733430966398
flicker|3|7|1.557575789041935e-05|15.970338110343395|NNP|NN|0|flicker|17.792664807819882|10.951466861932795
flickering|4|10|2.0767677187225803e-05|15.55530061106455|NN|NN|0|flicker|24.934109709566357|14.672312790735724
flies|16|5|8.307070874890321e-05|13.55530061106455|NNS|NN|0|fli|55.17065923127954|23.344625581471448
flight|9|6|4.6727273671258054e-05|14.385375609622239|NN|NN|0|flight|49.62284237296636|25.678649562361553
flights|1|7|5.191919296806451e-06|17.555300611064553|NNS|NN|0|flight|9.896332403909941|6.475733430966398
flip|8|4|4.1535354374451605e-05|14.55530061106455|VBP|VB|0|flip|55.17065923127954|25.678649562361553
flippin|2|7|1.0383838593612901e-05|16.555300611064553|VBZ|VB|0|flippin|9.896332403909941|6.475733430966398
